ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,evolutionary_group
GO:0051961,negative regulation of nervous system development,4/62,151/18860,0.026490066225165563,8.058107242042299,5.000930181274194,0.0015361209437030304,0.03740379346238581,0.026450752297162178,SOX11/DICER1/CERS2/PTEN,4,Unicellular
GO:0043923,host-mediated activation of viral transcription,2/62,18/18860,0.1111111111111111,33.799283154121866,7.995331172874418,0.0015726172908433057,0.03740379346238581,0.026450752297162178,EP300/RRP1B,2,Unicellular
GO:0072350,tricarboxylic acid metabolic process,2/62,18/18860,0.1111111111111111,33.799283154121866,7.995331172874418,0.0015726172908433057,0.03740379346238581,0.026450752297162178,IDH1/EP300,2,Unicellular
GO:1903909,regulation of receptor clustering,2/62,18/18860,0.1111111111111111,33.799283154121866,7.995331172874418,0.0015726172908433057,0.03740379346238581,0.026450752297162178,GSN/ZDHHC2,2,Unicellular
GO:0033157,regulation of intracellular protein transport,4/62,152/18860,0.02631578947368421,8.005093378607809,4.979908860020876,0.0015737921512925304,0.03740379346238581,0.026450752297162178,EP300/ZDHHC2/JUP/CDKN2A,4,Unicellular
GO:0090287,regulation of cellular response to growth factor stimulus,6/62,385/18860,0.015584415584415584,4.740678676162547,4.258806395207836,0.0016325818331346645,0.03834285224262416,0.027114824277282012,SOX11/GATA3/HTRA1/DMD/EP300/SLIT2,6,Unicellular
GO:0043543,protein acylation,3/62,71/18860,0.04225352112676056,12.853248523398456,5.746641220788577,0.0016491549351666304,0.03834285224262416,0.027114824277282012,EP300/ZDHHC2/NAA10,3,Unicellular
GO:0060048,cardiac muscle contraction,4/62,155/18860,0.025806451612903226,7.850156087408949,4.917980615547869,0.0016906646657540716,0.03888528731234365,0.0274984168046248,BIN1/GSN/DMD/JUP,4,Unicellular
GO:0034599,cellular response to oxidative stress,5/62,264/18860,0.01893939393939394,5.761241446725317,4.474162490411731,0.0017473661080147649,0.03907208778803281,0.027630516055905684,FOXO4/DAPK1/CDKN2A/KLF4/MSRA,5,Unicellular
GO:0006309,apoptotic DNA fragmentation,2/62,19/18860,0.10526315789473684,32.020373514431235,7.769108754522066,0.0017539165016422801,0.03907208778803281,0.027630516055905684,DICER1/NME1,2,Unicellular
GO:2000677,regulation of transcription regulatory region DNA binding,2/62,19/18860,0.10526315789473684,32.020373514431235,7.769108754522066,0.0017539165016422801,0.03907208778803281,0.027630516055905684,SOX11/GATA3,2,Unicellular
GO:0030041,actin filament polymerization,4/62,157/18860,0.025477707006369428,7.750154099034313,4.877611759762445,0.0017718525083867146,0.03907208778803281,0.027630516055905684,BIN1/GSN/PFN1/SLIT2,4,Unicellular
GO:0061180,mammary gland epithelium development,3/62,74/18860,0.04054054054054054,12.332170880557976,5.609332291558049,0.0018574071177036374,0.04045835135184838,0.02861083678679467,GATA3/KDM5B/CDKN2A,3,Unicellular
GO:0016078,tRNA decay,2/62,20/18860,0.1,30.419354838709676,7.559743242554318,0.0019446784601438198,0.04045835135184838,0.02861083678679467,DICER1/RNH1,2,Unicellular
GO:0031365,N-terminal protein amino acid modification,2/62,20/18860,0.1,30.419354838709676,7.559743242554318,0.0019446784601438198,0.04045835135184838,0.02861083678679467,EP300/NAA10,2,Unicellular
