Comparison,Odds_Ratio,P_Value,P_Adjusted,Significant
Metastasis genes vs Suppressors,7.892638406296571,2.5782700507861472e-17,2.5782700507861472e-17,Yes
Metastasis genes vs KEGG hsa05200,304.60985856965374,1.349121310852728e-123,4.047363932558184e-123,Yes
Suppressors vs KEGG hsa05200,34.909802450484904,1.257474366144826e-22,1.886211549217239e-22,Yes
