ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,evolutionary_group
GO:0071260,cellular response to mechanical stimulus,3/16,72/18870,2.8783017107030557e-5,0.009834109295250276,0.005835747613156846,TNFRSF10A/TNFRSF10B/ENG,3,Vertebrates
GO:0035907,dorsal aorta development,2/16,10/18870,3.021231734331882e-5,0.009834109295250276,0.005835747613156846,NGFR/ENG,2,Vertebrates
GO:0036462,TRAIL-activated apoptotic signaling pathway,2/16,13/18870,5.22903568365438e-5,0.011347007433530005,0.006733530161056693,TNFRSF10A/TNFRSF10B,2,Vertebrates
GO:0007250,activation of NF-kappaB-inducing kinase activity,2/16,16/18870,8.032741121553877e-5,0.013073286175328935,0.007757936820027034,TNFRSF10A/TNFRSF10B,2,Vertebrates
GO:0071214,cellular response to abiotic stimulus,4/16,334/18870,1.4827285032022338e-4,0.016087604259744235,0.00954669053816175,TNFRSF10A/TNFRSF10B/GPR68/ENG,4,Vertebrates
GO:0104004,cellular response to environmental stimulus,4/16,334/18870,1.4827285032022338e-4,0.016087604259744235,0.00954669053816175,TNFRSF10A/TNFRSF10B/GPR68/ENG,4,Vertebrates
GO:1902230,negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage,2/16,30/18870,2.891776933887434e-4,0.026893525485153134,0.015959129845664485,CLU/CD44,2,Vertebrates
GO:1902229,regulation of intrinsic apoptotic signaling pathway in response to DNA damage,2/16,38/18870,4.6549283573548816e-4,0.03787947950797535,0.02247840404143739,CLU/CD44,2,Vertebrates
GO:0043410,positive regulation of MAPK cascade,4/16,474/18870,5.627104901662173e-4,0.04070272545535638,0.02415377191707623,KISS1/AKAP12/IGFBP3/CD44,4,Vertebrates
GO:0009612,response to mechanical stimulus,3/16,213/18870,7.124588767845362e-4,0.0463810728786733,0.02752341134525524,TNFRSF10A/TNFRSF10B/ENG,3,Vertebrates
