Root,Dscore,Statistic,Pvalue,AdjPvalue
37,1,8.721,1.38e-18,9.52e-16
37,1,8.719,1.4e-18,9.63e-16
37,0.9998,8.716,1.45e-18,9.94e-16
37,1,8.706,1.57e-18,1.08e-15
37,0.9701,8.706,1.58e-18,1.08e-15
37,1,8.706,1.58e-18,1.09e-15
37,1,8.691,1.8e-18,1.24e-15
37,1,8.689,1.83e-18,1.26e-15
37,0.9701,8.668,2.2e-18,1.51e-15
37,0.9694,8.66,2.37e-18,1.63e-15
37,1,8.658,2.41e-18,1.66e-15
37,1,8.657,2.41e-18,1.66e-15
37,1,8.651,2.56e-18,1.76e-15
37,1,8.622,3.28e-18,2.26e-15
37,0.9837,8.62,3.36e-18,2.31e-15
37,0.9981,8.613,3.55e-18,2.44e-15
37,1,8.603,3.9e-18,2.68e-15
37,0.9998,8.6,3.97e-18,2.73e-15
37,0.9998,8.587,4.45e-18,3.06e-15
37,1,8.578,4.82e-18,3.31e-15
37,0.9694,8.576,4.93e-18,3.39e-15
37,0.9904,8.568,5.27e-18,3.62e-15
37,1,8.563,5.48e-18,3.77e-15
37,0.9988,8.556,5.86e-18,4.03e-15
37,0.9962,8.555,5.87e-18,4.04e-15
37,1,8.553,5.99e-18,4.12e-15
37,0.9998,8.552,6.07e-18,4.18e-15
37,0.9993,8.547,6.33e-18,4.35e-15
37,0.9963,8.546,6.38e-18,4.39e-15
37,0.9992,8.545,6.44e-18,4.43e-15
37,0.9998,8.534,7.1e-18,4.88e-15
37,1,8.533,7.11e-18,4.89e-15
37,1,8.527,7.49e-18,5.15e-15
37,0.9998,8.523,7.78e-18,5.35e-15
37,1,8.522,7.87e-18,5.41e-15
37,1,8.507,8.92e-18,6.13e-15
37,1,8.506,9.02e-18,6.21e-15
37,0.9694,8.495,9.94e-18,6.84e-15
37,1,8.493,1e-17,6.91e-15
37,1,8.493,1.01e-17,6.95e-15
37,0.9998,8.488,1.05e-17,7.24e-15
37,1,8.487,1.06e-17,7.29e-15
37,0.9875,8.486,1.07e-17,7.33e-15
37,1,8.478,1.14e-17,7.88e-15
37,0.9998,8.478,1.15e-17,7.91e-15
37,0.9875,8.477,1.15e-17,7.93e-15
37,1,8.476,1.17e-17,8.04e-15
37,1,8.473,1.19e-17,8.2e-15
37,1,8.467,1.26e-17,8.67e-15
37,0.9998,8.463,1.31e-17,8.99e-15
37,1,8.459,1.34e-17,9.24e-15
37,1,8.451,1.44e-17,9.94e-15
37,0.9997,8.442,1.56e-17,1.08e-14
37,0.9373,8.435,1.66e-17,1.14e-14
37,1,8.428,1.76e-17,1.21e-14
37,1,8.408,2.09e-17,1.44e-14
37,0.9988,8.403,2.17e-17,1.49e-14
37,0.9998,8.403,2.17e-17,1.5e-14
37,0.9963,8.403,2.18e-17,1.5e-14
37,1,8.402,2.2e-17,1.51e-14
37,0.9998,8.395,2.32e-17,1.6e-14
37,0.9701,8.394,2.36e-17,1.62e-14
37,0.9701,8.389,2.45e-17,1.68e-14
37,0.9998,8.382,2.61e-17,1.8e-14
37,1,8.376,2.75e-17,1.89e-14
37,0.9903,8.374,2.78e-17,1.91e-14
37,1,8.374,2.79e-17,1.92e-14
37,1,8.37,2.88e-17,1.98e-14
37,0.9998,8.369,2.91e-17,2e-14
37,0.9071,8.365,3e-17,2.07e-14
37,0.9998,8.36,3.14e-17,2.16e-14
37,0.9992,8.355,3.26e-17,2.24e-14
37,0.9808,8.349,3.43e-17,2.36e-14
37,1,8.346,3.53e-17,2.43e-14
37,0.9802,8.345,3.57e-17,2.46e-14
37,1,8.341,3.7e-17,2.54e-14
37,1,8.331,4e-17,2.75e-14
37,0.9998,8.328,4.1e-17,2.82e-14
37,1,8.328,4.11e-17,2.83e-14
37,1,8.327,4.16e-17,2.86e-14
37,0.9904,8.316,4.54e-17,3.12e-14
37,0.9998,8.314,4.61e-17,3.17e-14
37,0.9993,8.307,4.91e-17,3.38e-14
37,1,8.307,4.92e-17,3.39e-14
37,0.9993,8.295,5.43e-17,3.74e-14
37,1,8.294,5.46e-17,3.75e-14
37,1,8.273,6.52e-17,4.48e-14
37,0.9694,8.269,6.74e-17,4.64e-14
37,0.9753,8.253,7.73e-17,5.32e-14
37,0.9992,8.249,8e-17,5.5e-14
37,1,8.246,8.21e-17,5.65e-14
37,0.9071,8.243,8.43e-17,5.8e-14
37,0.9701,8.236,8.91e-17,6.13e-14
37,1,8.233,9.11e-17,6.27e-14
37,1,8.228,9.54e-17,6.56e-14
37,0.9694,8.228,9.56e-17,6.58e-14
37,1,8.221,1.01e-16,6.94e-14
37,0.9998,8.217,1.04e-16,7.15e-14
37,1,8.217,1.04e-16,7.17e-14
37,0.9701,8.216,1.06e-16,7.26e-14
37,0.9373,8.206,1.14e-16,7.87e-14
37,0.9694,8.179,1.43e-16,9.83e-14
37,0.9071,8.176,1.46e-16,1.01e-13
37,0.9071,8.171,1.53e-16,1.06e-13
37,0.9998,8.168,1.57e-16,1.08e-13
37,1,8.167,1.59e-16,1.09e-13
37,0.9172,8.16,1.68e-16,1.15e-13
37,0.9164,8.152,1.8e-16,1.24e-13
37,0.9071,8.139,2e-16,1.37e-13
37,0.9164,8.132,2.12e-16,1.46e-13
37,1,8.085,3.1e-16,2.13e-13
37,0.8942,8.08,3.24e-16,2.23e-13
37,0.9071,8.069,3.53e-16,2.43e-13
37,0.9459,8.066,3.63e-16,2.5e-13
37,0.9172,8.055,3.97e-16,2.73e-13
37,0.9998,8.043,4.38e-16,3.01e-13
37,0.9373,8.042,4.41e-16,3.04e-13
37,1,8.028,4.94e-16,3.4e-13
37,0.9071,8.024,5.13e-16,3.53e-13
37,0.9373,7.973,7.77e-16,5.34e-13
37,0.8716,7.968,8.09e-16,5.57e-13
37,0.8169,7.899,1.41e-15,9.71e-13
37,0.8393,7.759,4.3e-15,2.96e-12
37,0.871,7.694,7.16e-15,4.92e-12
37,0.8111,7.498,3.24e-14,2.23e-11
