Root,Dscore,Statistic,Pvalue,AdjPvalue
20,0.9382,8.15,1.82e-16,1.25e-13
20,0.9323,8.133,2.09e-16,1.44e-13
20,0.942,8.133,2.1e-16,1.45e-13
20,0.9879,8.113,2.46e-16,1.69e-13
20,0.8896,8.109,2.56e-16,1.76e-13
20,0.9455,8.1,2.76e-16,1.9e-13
20,0.9104,8.098,2.79e-16,1.92e-13
20,0.9382,8.081,3.21e-16,2.21e-13
20,0.9382,8.055,3.98e-16,2.74e-13
20,0.9635,8.039,4.52e-16,3.11e-13
20,0.8741,7.994,6.53e-16,4.49e-13
20,0.9451,7.985,7e-16,4.82e-13
20,0.8722,7.978,7.44e-16,5.12e-13
20,0.9382,7.964,8.31e-16,5.72e-13
20,0.8099,7.949,9.4e-16,6.47e-13
20,0.8825,7.835,2.34e-15,1.61e-12
20,0.8741,7.746,4.73e-15,3.26e-12
20,0.8694,7.717,5.94e-15,4.08e-12
20,0.8117,7.469,4.03e-14,2.77e-11
20,0.7204,7.289,1.56e-13,1.07e-10
20,0.7023,6.898,2.64e-12,1.81e-9
21,1,8.905,2.67e-19,1.84e-16
21,1,8.824,5.5e-19,3.79e-16
21,0.9385,8.763,9.49e-19,6.53e-16
21,1,8.659,2.39e-18,1.64e-15
21,1,8.655,2.47e-18,1.7e-15
21,0.9401,8.619,3.37e-18,2.32e-15
21,0.9959,8.614,3.52e-18,2.42e-15
21,1,8.556,5.84e-18,4.02e-15
21,1,8.542,6.57e-18,4.52e-15
21,1,8.531,7.26e-18,5e-15
21,1,8.499,9.59e-18,6.6e-15
21,1,8.462,1.31e-17,9.04e-15
21,1,8.388,2.47e-17,1.7e-14
21,0.8503,8.211,1.1e-16,7.55e-14
21,0.8927,8.072,3.47e-16,2.39e-13
21,0.8172,7.958,8.72e-16,6e-13
21,0.5661,6.304,1.45e-10,9.95e-8
22,0.9465,8.58,4.73e-18,3.25e-15
22,0.9465,8.467,1.26e-17,8.64e-15
22,0.9075,8.438,1.61e-17,1.11e-14
22,0.9432,8.32,4.38e-17,3.01e-14
22,0.9465,8.253,7.7e-17,5.29e-14
22,0.9465,8.249,7.99e-17,5.5e-14
22,0.9465,8.192,1.29e-16,8.86e-14
22,0.9099,8.158,1.7e-16,1.17e-13
22,0.9465,8.125,2.25e-16,1.54e-13
22,0.9075,8.003,6.05e-16,4.16e-13
22,0.7699,7.317,1.27e-13,8.75e-11
23,0.9285,8.452,1.43e-17,9.87e-15
23,0.9464,8.383,2.58e-17,1.77e-14
23,0.892,8.319,4.45e-17,3.06e-14
23,0.9205,8.264,7.05e-17,4.85e-14
23,0.9798,8.259,7.33e-17,5.04e-14
23,0.903,8.251,7.84e-17,5.39e-14
23,0.9277,8.211,1.09e-16,7.52e-14
23,0.8873,8.203,1.17e-16,8.07e-14
23,0.8774,8.148,1.86e-16,1.28e-13
23,0.892,8.09,2.98e-16,2.05e-13
23,0.9375,8.042,4.4e-16,3.03e-13
23,0.8775,8.008,5.83e-16,4.01e-13
23,0.8687,7.983,7.15e-16,4.92e-13
23,0.7709,7.688,7.47e-15,5.14e-12
23,0.864,7.633,1.14e-14,7.87e-12
23,0.8916,7.57,1.87e-14,1.29e-11
23,0.7997,7.465,4.17e-14,2.87e-11
23,0.7595,7.178,3.54e-13,2.44e-10
24,0.9821,8.769,8.98e-19,6.18e-16
24,0.9815,8.714,1.46e-18,1.01e-15
24,0.9616,8.565,5.4e-18,3.72e-15
24,0.9616,8.549,6.21e-18,4.27e-15
24,0.9975,8.489,1.04e-17,7.16e-15
24,0.8983,8.44,1.58e-17,1.09e-14
24,0.9821,8.402,2.19e-17,1.51e-14
24,0.9821,8.383,2.57e-17,1.77e-14
24,0.9519,8.344,3.58e-17,2.46e-14
24,0.945,8.317,4.5e-17,3.1e-14
24,0.8983,8.314,4.64e-17,3.19e-14
24,0.9616,8.281,6.13e-17,4.21e-14
24,0.9754,8.272,6.59e-17,4.54e-14
24,0.8923,8.204,1.16e-16,8e-14
24,0.8983,8.174,1.49e-16,1.02e-13
24,0.8983,8.144,1.9e-16,1.31e-13
24,0.8983,8.1,2.74e-16,1.88e-13
24,0.8983,8.065,3.65e-16,2.51e-13
24,0.88,8.034,4.72e-16,3.25e-13
24,0.8983,8.021,5.25e-16,3.61e-13
24,0.8983,7.976,7.56e-16,5.2e-13
24,0.8804,7.943,9.85e-16,6.78e-13
24,0.7441,7.283,1.63e-13,1.12e-10
24,0.7441,7.001,1.27e-12,8.72e-10
25,0.9436,8.503,9.23e-18,6.35e-15
25,0.9809,8.368,2.92e-17,2.01e-14
25,0.9988,8.25,7.92e-17,5.45e-14
25,0.8812,7.996,6.44e-16,4.43e-13
25,0.7293,7.132,4.95e-13,3.4e-10
26,0.9267,8.479,1.14e-17,7.83e-15
26,0.9355,8.466,1.27e-17,8.76e-15
26,0.9372,8.446,1.51e-17,1.04e-14
26,0.9355,8.275,6.44e-17,4.43e-14
26,0.9802,8.216,1.05e-16,7.25e-14
26,0.9655,8.125,2.23e-16,1.54e-13
26,0.8914,8.104,2.65e-16,1.83e-13
26,0.9261,7.908,1.3e-15,8.96e-13
26,0.8863,7.757,4.34e-15,2.99e-12
26,0.6667,7.086,6.93e-13,4.77e-10
27,0.9082,8.396,2.3e-17,1.58e-14
27,0.9082,8.378,2.69e-17,1.85e-14
27,0.9082,8.303,5.06e-17,3.48e-14
27,0.8714,8.137,2.03e-16,1.4e-13
28,0.9589,8.553,6.01e-18,4.13e-15
28,0.9962,8.531,7.25e-18,4.99e-15
28,0.9461,8.501,9.41e-18,6.47e-15
28,0.931,8.49,1.04e-17,7.14e-15
